label;English;English (Europe);German;Spanish;Spanish (US);French;French (US);Italian;Dutch;Chinese;Chinese (Traditional);Japanese;Korean;Russian
00000;red tile roof;red tile roof;Rot-Ziegeldach;tejado pizarra rojo;tejado pizarra rojo;toit en tuiles rouges;toit en tuiles rouges;tetto di tegole rosse;rood pannendak;红色瓦屋顶;紅色瓦片屋頂;あかいかわらやね;빨간색 기와지붕;красная черепичн. крыша
00003;pink tile roof;pink tile roof;Rosa-Ziegeldach;tejado pizarra rosa;tejado pizarra rosa;toit en tuiles roses;toit en tuiles roses;tetto di tegole rosa;roze pannendak;粉红色瓦屋顶;粉紅色瓦片屋頂;ピンクのかわらやね;핑크색 기와지붕;розовая черепичн. крыша
00006;golden-brown thatch roof;golden-brown thatch roof;Goldbraun-Reetdach;tejado paja dorado;tejado paja dorado;toit de chaume jaune doré;toit de chaume jaune doré;tetto di paglia brunita;goudbruin rieten dak;浅棕色茅草屋顶;淺棕色茅草屋頂;きつねいろのかやぶきやね;연갈색 초가지붕;светлая соломен. крыша
00007;gray stone roof;gray stone roof;Grau-Steindach;tejado piedra gris;tejado piedra gris;toit en pierre grise;toit en pierre grise;tetto di pietra grigia;grijs stenen dak;灰色石屋顶;灰色石屋頂;グレーないしのやね;회색 돌 지붕;серая каменная крыша
00008;orange curved shingles;orange curved shingles;Orange-Rundziegeldach;tejado teja naranja;tejado teja naranja;toit en tuiles canal orange;toit en tuiles canal orange;tetto di coppi arancioni;oranje dakspanen;橘色洋瓦屋顶;橘色洋瓦屋頂;オレンジいろのようがわらのやね;오렌지색 서양식 기와지붕;круглая оранж. черепица
00023;brown thatch roof;brown thatch roof;Braun-Reetdach;tejado paja pardo;tejado paja pardo;toit de chaume brun;toit de chaume brun;tetto di paglia marrone;bruin rieten dak;茶色茅草屋顶;茶色茅草屋頂;ちゃいろいかやぶきやね;갈색 초가지붕;темная соломен. крыша
00024;orange thatch roof;orange thatch roof;Orange-Reetdach;tejado paja naranja;tejado paja naranja;toit de chaume orange;toit de chaume orange;tetto di paglia arancione;oranje rieten dak;橘色茅草屋顶;橘色茅草屋頂;オレンジいろのかやぶきやね;주황색 초가지붕;оранжевая солом. крыша
00025;fresh-grass thatch roof;fresh-grass thatch roof;Gelb-Reetdach;tejado paja recién cortada;tejado paja recién cortada;toit de chaume frais;toit de chaume jaune pâle;tetto di paglia fresca;rieten dak;浅黄色茅草屋顶;嫩黃色茅草屋頂;わかくさいろのかやぶきやね;연두색 초가지붕;крыша из свежей травы
00026;gray thatch roof;gray thatch roof;Grau-Reetdach;tejado paja gris;tejado paja gris;toit de chaume gris;toit de chaume gris;tetto di paglia grigia;grijs rieten dak;灰色茅草屋顶;灰色茅草屋頂;はいいろのかやぶきやね;회색 초가지붕;серая соломен. крыша
00039;red tile roof;red tile roof;Rot-Ziegeldach;tejado pizarra rojo;tejado pizarra rojo;toit en tuiles rouges;toit en tuiles rouges;tetto di tegole rosse;rood pannendak;红色瓦屋顶;紅色瓦片屋頂;あかいかわらやね;빨간색 기와지붕;красная черепичн. крыша
00047;red tile roof;red tile roof;Rot-Ziegeldach;tejado pizarra rojo;tejado pizarra rojo;toit en tuiles rouges;toit en tuiles rouges;tetto di tegole rosse;rood pannendak;红色瓦屋顶;紅色瓦片屋頂;あかいかわらやね;빨간색 기와지붕;красная черепичн. крыша
00126;pink tile roof;pink tile roof;Rosa-Ziegeldach;tejado pizarra rosa;tejado pizarra rosa;toit en tuiles roses;toit en tuiles roses;tetto di tegole rosa;roze pannendak;粉红色瓦屋顶;粉紅色瓦片屋頂;ピンクのかわらやね;핑크색 기와지붕;розовая черепичн. крыша
00127;yellow tile roof;yellow tile roof;Gelb-Ziegeldach;tejado pizarra ocre;tejado pizarra ocre;toit en tuiles jaunes;toit en tuiles jaunes;tetto di tegole gialle;geel pannendak;黄色瓦屋顶;黃色瓦片屋頂;きいろいかわらやね;노란색 기와지붕;желтая черепичн. крыша
00128;green tile roof;green tile roof;Grün-Ziegeldach;tejado pizarra verde;tejado pizarra verde;toit en tuiles vertes;toit en tuiles vertes;tetto di tegole verdi;groen pannendak;绿色瓦屋顶;綠色瓦片屋頂;みどりのかわらやね;초록색 기와지붕;зеленая черепичн. крыша
00129;aqua tile roof;aqua tile roof;Hellblau-Ziegeldach;tejado pizarra celeste;tejado pizarra celeste;toit en tuiles turquoise;toit en tuiles bleu ciel;tetto di tegole turchesi;lichtblauw pannendak;水蓝色瓦屋顶;水藍色瓦片屋頂;みずいろのかわらやね;하늘색 기와지붕;аквамар. черепичн. крыша
